# Bend, Stretch, theta1, theta1_predicted, error1, theta2, theta2_predicted, error2
22.36,3.50,9.27,12.65,3.39,11.42,8.52,2.90
22.23,3.58,9.37,11.36,1.99,11.39,9.73,1.67
22.31,3.58,9.46,11.40,1.94,11.38,9.72,1.66
22.77,3.58,9.56,11.69,2.12,11.38,9.58,1.80
22.77,3.58,9.54,11.69,2.14,11.50,9.58,1.91
22.73,3.58,9.58,11.66,2.09,11.52,9.60,1.93
23.48,3.58,9.56,12.22,2.66,11.58,9.28,2.30
23.41,3.58,9.57,12.17,2.59,11.65,9.31,2.34
23.19,3.58,9.56,12.00,2.45,11.74,9.40,2.33
24.05,3.58,9.52,12.64,3.12,11.77,9.04,2.73
23.70,3.64,9.52,11.63,2.11,11.79,9.98,1.81
23.31,3.64,9.45,11.33,1.88,11.83,10.14,1.68
23.73,3.66,9.45,11.46,2.00,11.81,10.16,1.65
23.89,3.66,9.54,11.57,2.04,11.77,10.10,1.67
24.03,3.70,9.57,11.11,1.54,11.80,10.63,1.17
24.38,3.70,9.63,11.36,1.74,11.84,10.48,1.36
24.41,3.70,9.65,11.39,1.73,11.92,10.47,1.45
24.48,3.62,9.76,12.40,2.64,11.89,9.45,2.45
24.69,3.62,9.85,12.55,2.70,11.95,9.36,2.59
24.50,3.64,9.86,12.22,2.36,11.95,9.64,2.31
25.28,3.64,9.88,12.80,2.92,11.92,9.31,2.62
27.05,3.67,9.91,12.78,2.88,11.91,9.21,2.70
26.86,3.67,9.96,12.85,2.89,11.89,9.21,2.68
27.28,3.67,10.01,12.62,2.62,11.96,9.26,2.70
27.33,3.67,10.02,12.59,2.57,11.99,9.27,2.72
27.52,3.67,10.04,12.46,2.42,12.03,9.31,2.72
28.38,3.67,10.03,12.08,2.05,12.10,9.38,2.72
28.77,3.67,10.09,11.97,1.88,12.59,9.38,3.22
30.23,3.58,10.10,11.82,1.73,12.82,8.97,3.85
30.28,3.58,10.08,11.84,1.77,13.48,8.93,4.55
30.86,3.58,10.09,12.08,1.99,13.89,8.38,5.51
26.55,4.08,10.00,9.93,0.07,15.70,12.81,2.89
24.36,4.08,9.88,10.32,0.44,16.44,13.38,3.06
19.39,4.64,9.73,13.14,3.41,17.23,14.33,2.90
22.19,4.64,9.18,12.39,3.21,20.06,16.45,3.61
29.45,5.11,8.91,13.43,4.52,21.13,12.80,8.33
32.28,5.11,8.31,13.27,4.97,23.77,11.60,12.16
35.53,5.11,7.95,17.63,9.68,25.25,7.71,17.53
43.50,6.41,6.84,18.36,11.52,31.35,7.39,23.96
47.23,6.41,6.52,18.59,12.08,33.90,7.58,26.32
51.05,6.41,6.20,18.65,12.45,36.69,8.58,28.11
58.34,7.73,5.22,18.77,13.55,46.97,53.21,6.24
61.53,7.73,4.93,18.50,13.58,50.88,59.59,8.71
66.27,8.56,4.47,16.98,12.51,59.20,59.92,0.72
69.12,8.56,4.30,16.83,12.52,63.45,60.72,2.73
74.50,9.56,4.04,16.05,12.01,76.19,74.55,1.64
76.72,9.56,4.06,15.68,11.62,80.40,76.74,3.66
78.53,9.56,4.06,15.58,11.52,84.42,78.58,5.84
83.88,10.77,4.44,17.35,12.91,96.00,101.15,5.14
86.50,10.77,4.57,17.32,12.75,99.65,110.27,10.61
90.34,11.56,4.85,17.72,12.86,106.22,123.19,16.97
88.86,11.56,4.99,17.77,12.78,109.29,120.41,11.12
98.22,12.28,5.41,18.57,13.16,117.24,132.49,15.24
96.02,12.28,5.55,17.90,12.35,119.58,130.32,10.74
100.12,12.28,5.70,19.18,13.48,121.68,134.64,12.96
107.42,13.36,6.30,18.60,12.30,126.53,136.22,9.70
113.38,13.36,6.54,19.60,13.06,127.81,137.61,9.80
105.20,13.92,7.03,17.03,10.00,130.11,135.45,5.34
123.34,13.92,7.32,19.51,12.19,131.01,141.74,10.73
121.02,14.36,8.15,18.90,10.75,132.83,138.67,5.84
124.27,14.36,8.44,19.20,10.76,133.15,140.29,7.15
127.20,14.36,8.64,19.35,10.71,133.47,142.16,8.69
123.14,14.78,9.15,18.34,9.19,134.12,139.12,5.00
124.81,14.78,9.18,18.60,9.42,134.27,139.60,5.33
124.92,14.45,9.05,19.13,10.08,134.18,140.36,6.18
116.84,14.45,8.91,18.06,9.16,134.01,137.44,3.43
117.94,13.70,8.09,19.54,11.45,132.93,138.96,6.02
111.22,13.70,7.62,18.66,11.04,131.75,136.48,4.73
95.67,13.70,7.15,14.29,7.14,130.45,125.27,5.19
92.92,13.70,5.86,12.69,6.83,125.72,120.36,5.36
93.36,13.70,5.55,12.89,7.34,123.13,121.19,1.94
86.72,10.92,4.93,17.32,12.39,117.25,113.15,4.10
82.02,10.92,4.61,17.65,13.04,114.29,100.67,13.61
79.33,9.81,4.22,16.06,11.84,102.64,83.12,19.52
77.64,9.81,4.14,16.21,12.07,96.84,81.39,15.44
57.30,8.22,3.98,19.79,15.80,83.39,26.79,56.60
49.12,8.22,3.94,14.59,10.65,76.76,34.34,42.42
38.52,5.34,3.88,19.36,15.48,56.25,5.99,50.26
33.20,5.34,3.81,13.78,9.97,49.54,11.61,37.93
24.91,3.08,3.73,14.67,10.94,39.12,7.59,31.53
24.42,3.08,3.72,14.71,10.99,35.48,7.51,27.97
23.27,3.08,3.81,14.79,10.98,28.99,7.32,21.67
22.75,2.11,3.87,14.45,10.58,27.75,6.52,21.23
22.06,2.11,3.96,14.57,10.61,26.78,6.44,20.34
21.50,1.94,4.28,14.37,10.09,24.36,5.99,18.37
21.47,1.94,4.34,14.38,10.03,23.76,5.99,17.76
21.78,1.61,4.45,13.54,9.09,22.63,5.16,17.47
21.73,1.61,4.53,13.55,9.02,22.07,5.16,16.91
21.56,1.61,4.49,13.61,9.11,20.43,5.16,15.28
24.17,1.34,4.49,12.68,8.19,19.92,6.96,12.96
25.78,1.34,4.44,13.61,9.17,19.48,8.93,10.55
26.12,1.34,4.54,14.14,9.60,18.15,8.88,9.26
25.12,1.34,4.56,12.69,8.12,17.76,8.89,8.87
20.55,1.69,4.69,14.14,9.45,17.10,5.35,11.75
19.56,1.69,4.79,14.48,9.70,16.80,5.34,11.46
18.31,1.69,5.14,14.92,9.78,16.09,5.34,10.75
14.53,2.14,5.22,15.50,10.28,15.93,5.12,10.82
13.41,2.14,5.29,14.58,9.29,15.80,5.14,10.66
11.28,2.22,5.43,11.58,6.15,15.36,5.39,9.97
10.66,2.22,5.45,10.96,5.51,15.23,5.41,9.82
9.23,2.47,5.50,10.51,5.00,15.01,5.50,9.51
8.52,2.47,5.52,10.32,4.80,14.93,5.46,9.47
8.22,2.47,5.56,10.25,4.69,14.71,5.44,9.27
7.84,2.45,5.59,10.12,4.53,14.65,5.41,9.23
7.00,2.45,5.63,9.91,4.28,14.61,5.40,9.21
7.34,2.36,5.69,9.81,4.12,14.62,5.36,9.27
7.27,2.36,5.68,9.79,4.11,14.67,5.36,9.31
7.31,2.36,5.70,9.80,4.11,14.68,5.36,9.33
6.53,2.36,5.73,9.61,3.88,14.68,5.35,9.32
7.25,2.39,5.79,9.85,4.07,14.61,5.37,9.23
7.05,2.39,5.79,9.80,4.02,14.62,5.37,9.25
6.80,2.39,5.77,9.74,3.97,14.61,5.37,9.24
7.58,2.38,5.78,9.90,4.12,14.51,5.37,9.14
7.56,2.38,5.80,9.90,4.10,14.53,5.37,9.16
7.69,2.38,5.78,9.93,4.15,14.60,5.38,9.23
9.58,2.38,5.78,10.41,4.63,14.70,5.48,9.21
9.83,2.38,5.87,10.47,4.59,15.07,5.50,9.57
10.84,2.22,5.95,11.11,5.16,15.20,5.41,9.79
11.69,2.22,6.04,12.08,6.04,15.42,5.36,10.05
15.58,2.16,6.31,15.41,9.11,16.21,5.24,10.97
16.20,2.16,6.46,15.35,8.90,16.54,5.31,11.23
16.53,2.16,6.77,15.32,8.56,17.51,5.35,12.17
16.00,2.38,6.95,15.64,8.69,18.13,5.25,12.88
15.62,2.38,7.43,15.66,8.23,20.45,5.22,15.23
15.23,3.09,7.53,17.18,9.65,21.36,4.24,17.12
15.02,3.09,7.60,17.04,9.44,22.38,4.35,18.02
19.69,4.08,7.74,14.15,6.41,25.50,12.04,13.46
23.44,4.08,7.73,11.01,3.27,26.48,13.62,12.86
24.62,4.08,7.69,10.10,2.40,28.36,13.28,15.09
28.66,5.08,7.68,13.48,5.80,29.31,13.21,16.10
30.08,5.08,7.62,12.85,5.23,32.21,12.44,19.77
32.03,5.66,7.59,14.42,6.83,33.20,12.39,20.81
34.19,5.66,7.56,14.71,7.15,34.21,11.09,23.12
35.97,6.25,7.51,17.29,9.78,35.23,9.82,25.41
37.48,6.25,7.47,19.27,11.79,36.27,7.21,29.06
38.30,6.25,7.31,19.56,12.25,39.48,6.90,32.58
39.28,6.25,7.26,19.22,11.96,40.66,7.06,33.61
40.17,6.25,7.24,18.92,11.69,43.10,7.20,35.90
43.33,7.22,7.24,14.17,6.93,44.44,32.16,12.28
45.14,7.22,7.26,15.30,8.05,47.26,26.63,20.63
48.14,7.75,7.16,15.20,8.04,52.44,31.50,20.95
49.11,7.75,7.15,16.33,9.18,54.35,26.21,28.14
52.58,8.48,7.16,14.31,7.15,56.19,29.03,27.16
53.75,8.48,7.12,14.53,7.41,62.00,29.64,32.36
55.30,8.48,7.12,15.71,8.59,64.04,29.50,34.55
58.91,9.28,7.25,13.57,6.31,67.84,59.48,8.35
59.81,9.28,7.30,13.22,5.92,69.79,62.96,6.82
62.52,9.88,7.51,13.17,5.66,75.32,70.63,4.69
63.36,9.88,7.59,13.05,5.46,77.16,74.15,3.01
65.89,10.48,7.81,12.18,4.37,80.62,74.28,6.34
67.55,10.48,7.91,12.16,4.25,82.44,81.50,0.94
68.47,10.48,8.14,12.17,4.02,88.23,85.65,2.58
70.67,11.38,8.22,12.17,3.95,90.21,82.02,8.19
72.23,11.38,8.28,11.46,3.18,92.20,86.19,6.01
73.83,11.86,8.34,12.91,4.58,98.61,90.34,8.27
74.75,11.86,8.35,12.61,4.26,100.83,91.18,9.65
78.22,12.58,8.36,16.15,7.79,105.12,110.48,5.36
79.61,12.58,8.37,15.24,6.87,107.26,107.53,0.26
80.67,12.58,8.58,13.71,5.13,112.98,107.26,5.72
84.14,13.56,8.67,17.67,9.00,114.78,122.18,7.40
86.59,13.56,8.68,15.55,6.87,116.51,117.54,1.03
86.92,14.20,8.91,16.43,7.52,120.81,126.16,5.35
87.05,14.20,8.98,16.42,7.44,122.06,126.34,4.28
99.19,14.41,9.23,12.72,3.50,124.19,127.52,3.33
95.20,14.41,9.35,10.90,1.54,125.12,120.79,4.32
94.92,14.41,9.67,10.80,1.13,127.45,120.33,7.12
108.98,15.00,9.78,14.50,4.72,128.05,132.53,4.47
103.67,15.00,9.89,12.14,2.25,128.57,127.93,0.63
110.95,15.23,10.23,14.29,4.06,129.59,132.50,2.91
111.62,15.23,10.35,14.51,4.17,129.80,133.06,3.26
99.78,15.45,10.53,16.50,5.98,129.96,133.58,3.63
112.31,15.45,10.65,14.06,3.41,129.94,132.21,2.27
112.69,15.45,10.79,14.14,3.35,129.94,132.44,2.50
105.52,15.45,10.82,12.65,1.83,129.87,128.89,0.98
107.70,15.45,10.86,13.04,2.18,129.86,129.82,0.03
112.95,15.44,10.82,14.26,3.44,129.85,132.75,2.89
109.16,15.44,10.61,13.36,2.75,129.80,130.20,0.40
107.80,15.44,10.47,13.04,2.58,129.76,129.83,0.07
112.95,15.61,9.75,14.07,4.32,128.85,132.37,3.52
108.02,15.61,9.19,13.26,4.06,127.71,130.26,2.54
105.30,15.61,7.00,12.87,5.87,119.43,128.86,9.44
108.44,15.38,6.18,13.11,6.93,113.28,129.95,16.67
96.23,15.38,5.30,16.57,11.27,106.11,133.97,27.86
88.31,13.00,4.45,12.42,7.96,98.46,118.39,19.93
84.42,13.00,3.68,12.25,8.58,90.38,112.17,21.79
44.66,9.34,2.20,27.06,24.86,65.80,10.34,55.46
38.72,9.34,1.88,21.38,19.50,57.90,12.13,45.77
34.70,9.34,1.52,20.56,19.04,45.55,12.59,32.96
24.45,5.25,1.48,13.59,12.11,41.97,17.01,24.96
21.41,5.25,1.41,14.65,13.23,35.33,15.00,20.33
19.95,3.88,1.41,13.98,12.58,33.69,10.91,22.78
19.08,3.88,1.41,14.67,13.25,31.35,10.36,20.99
18.53,3.58,1.45,15.12,13.67,30.53,8.23,22.29
18.77,3.58,1.53,15.04,13.51,27.71,8.22,19.49
18.62,3.58,1.58,15.09,13.51,26.83,8.23,18.61
17.95,2.66,1.64,15.39,13.75,26.07,5.87,20.20
17.70,2.66,1.94,15.59,13.65,24.06,5.68,18.38
17.88,2.42,1.98,15.25,13.27,23.41,5.76,17.64
18.80,2.42,2.12,15.12,13.01,22.17,5.96,16.21
20.02,2.34,2.16,14.93,12.77,21.60,6.17,15.43
20.45,2.34,2.17,14.87,12.70,20.00,6.26,13.74
21.14,2.22,2.11,14.73,12.62,19.51,6.32,13.18
20.98,2.22,2.06,14.75,12.69,19.03,6.29,12.74
18.66,2.25,1.84,15.08,13.25,17.93,5.81,12.12
17.94,2.25,1.72,15.18,13.46,17.59,5.66,11.93
16.12,2.39,1.41,15.70,14.29,17.01,5.22,11.80
14.70,2.39,1.28,15.24,13.96,16.69,5.18,11.51
12.05,2.42,0.86,11.72,10.86,15.78,5.57,10.20
10.88,2.42,0.70,10.83,10.13,15.44,5.58,9.86
9.92,2.42,0.57,10.59,10.02,15.14,5.52,9.62
7.27,2.34,0.34,9.76,9.42,14.31,5.35,8.96
5.97,2.34,0.34,9.44,9.10,14.13,5.34,8.78
4.67,2.27,0.48,8.92,8.43,13.55,5.37,8.17
4.17,2.27,0.57,8.08,7.51,13.45,6.53,6.92
2.17,2.25,0.90,4.85,3.96,13.28,10.93,2.35
2.03,2.25,1.09,4.62,3.53,13.20,11.25,1.95
1.98,2.14,1.27,5.22,3.95,13.09,9.84,3.25
1.84,2.14,1.74,4.99,3.25,12.87,10.17,2.70
1.12,2.23,1.92,3.44,1.52,12.80,12.82,0.02
1.42,2.23,2.09,3.82,1.73,12.78,12.26,0.52
1.39,2.34,2.72,3.37,0.65,12.93,13.46,0.53
1.41,2.34,2.99,3.39,0.40,13.08,13.44,0.35
2.48,2.56,3.88,4.37,0.50,13.42,13.09,0.33
3.17,2.56,4.45,5.01,0.56,13.67,12.29,1.38
3.38,2.56,6.39,5.22,1.17,14.39,12.01,2.39
8.03,3.22,7.12,12.44,5.31,14.64,10.20,4.44
10.14,3.22,7.94,14.27,6.33,14.78,7.23,7.55
13.38,4.19,10.34,13.13,2.79,15.20,11.93,3.26
14.41,4.19,11.10,13.78,2.68,15.37,11.40,3.97
17.39,4.67,12.87,14.31,1.43,15.60,12.17,3.43
19.59,4.67,14.01,12.97,1.04,15.61,14.54,1.08
21.92,5.27,17.88,14.46,3.43,16.06,15.71,0.35
22.77,5.27,19.36,14.08,5.29,16.23,16.77,0.54
26.95,7.31,20.91,16.37,4.54,16.47,11.37,5.10
27.86,7.31,25.78,16.95,8.83,17.09,11.56,5.53
29.28,7.31,27.37,17.86,9.51,17.36,11.81,5.55
35.52,10.56,29.97,24.06,5.91,17.91,12.44,5.47
37.16,10.56,31.12,23.19,7.92,18.23,13.19,5.04
39.08,12.20,34.03,29.11,4.92,19.22,13.24,5.97
40.64,12.20,34.74,28.41,6.33,19.80,12.53,7.27
41.41,13.62,35.48,34.76,0.72,20.38,14.63,5.76
41.42,13.62,37.84,34.74,3.10,22.66,14.60,8.06
39.70,14.59,38.59,38.25,0.34,23.69,18.63,5.06
39.14,14.59,40.50,38.70,1.80,25.66,19.54,6.11
46.88,16.33,41.60,35.92,5.68,26.67,11.54,15.13
49.92,16.33,45.38,36.22,9.15,29.19,12.38,16.81
53.06,18.06,46.59,48.34,1.76,29.88,13.61,16.27
54.45,18.06,47.76,48.15,0.39,30.49,14.33,16.16
59.83,20.11,49.05,54.66,5.61,31.02,13.03,17.99
59.97,20.11,50.52,54.58,4.06,31.34,13.02,18.31
60.33,20.11,54.39,54.36,0.03,32.21,13.05,19.16
61.88,21.84,55.63,54.14,1.49,32.37,22.13,10.24
60.78,21.84,57.87,57.05,0.81,32.93,18.36,14.57
60.44,22.80,59.09,59.47,0.38,33.18,23.50,9.68
60.55,22.80,62.25,59.40,2.85,34.28,23.75,10.53
59.12,23.86,63.26,63.70,0.44,34.77,25.59,9.19
59.52,23.86,65.12,63.65,1.47,35.80,26.70,9.10
59.41,23.86,65.93,63.66,2.27,36.29,26.39,9.91
60.55,25.00,68.27,66.80,1.47,37.96,33.80,4.16
61.41,25.00,69.00,67.43,1.56,38.59,33.94,4.65
61.75,25.59,69.64,68.26,1.38,39.14,37.23,1.91
62.23,25.59,71.38,69.03,2.34,40.59,37.24,3.35
63.22,26.20,71.96,69.87,2.09,41.15,40.81,0.34
63.58,26.20,73.04,70.37,2.67,42.34,40.83,1.51
62.78,26.20,73.57,69.25,4.32,42.74,40.79,1.95
65.72,26.89,74.88,69.59,5.29,43.36,47.38,4.02
65.28,26.89,75.17,70.33,4.83,43.23,47.18,3.94
65.45,27.16,75.44,69.11,6.33,42.94,52.51,9.56
65.95,27.16,75.83,68.92,6.91,41.28,54.55,13.28
65.69,26.98,75.72,69.66,6.06,40.45,49.56,9.11
66.27,26.98,75.19,68.76,6.42,37.97,51.29,13.32
66.02,26.98,74.80,69.17,5.63,36.43,50.64,14.21
63.53,26.05,72.88,70.53,2.35,32.53,39.36,6.84
60.41,26.05,71.85,64.88,6.97,30.99,43.30,12.31
59.86,24.81,70.72,65.84,4.88,29.41,32.71,3.30
59.50,24.81,67.51,65.36,2.15,24.81,32.45,7.64
51.20,22.50,66.27,57.91,8.36,23.55,18.88,4.66
47.28,22.50,63.56,59.52,4.04,21.04,17.96,3.08
42.31,20.66,62.25,53.98,8.27,19.86,15.97,3.89
46.42,20.66,58.99,53.73,5.26,17.32,12.61,4.71
53.33,18.66,57.80,51.25,6.55,16.70,12.95,3.75
53.56,18.66,56.70,51.11,5.59,16.20,12.94,3.25
55.75,17.95,53.59,48.58,5.01,15.13,13.43,1.70
55.30,17.95,52.54,48.31,4.23,14.83,13.79,1.04
54.73,16.81,50.21,41.86,8.35,14.33,13.83,0.49
55.27,16.81,49.05,42.46,6.59,14.14,13.36,0.78
55.45,16.81,47.89,42.67,5.22,14.02,13.16,0.86
53.75,15.39,46.66,38.04,8.62,13.97,13.86,0.12
53.48,15.39,43.32,37.62,5.70,13.71,14.15,0.44
51.88,14.77,42.24,34.65,7.60,13.63,14.99,1.37
51.44,14.77,41.24,34.68,6.56,13.52,14.74,1.21
49.17,13.91,38.56,33.16,5.40,13.04,13.18,0.14
48.89,13.91,37.52,33.15,4.38,12.87,13.22,0.35
47.67,13.91,36.59,32.52,4.07,12.62,12.93,0.30
44.47,12.42,33.24,27.43,5.81,12.17,11.76,0.41
44.09,12.42,31.98,27.55,4.42,12.07,11.61,0.46
41.98,11.20,29.19,24.74,4.44,12.07,11.71,0.36
40.94,11.20,27.80,25.16,2.64,12.02,11.97,0.05
37.06,9.58,23.82,20.35,3.47,12.12,13.06,0.95
35.30,9.58,22.58,21.63,0.95,12.21,12.22,0.01
34.56,9.58,21.44,22.02,0.59,12.24,11.87,0.37
28.77,8.12,18.62,18.22,0.40,12.28,11.77,0.51
27.44,8.12,17.79,18.48,0.69,12.33,12.09,0.24
24.81,7.25,16.27,16.52,0.25,12.31,12.49,0.19
23.88,7.25,15.61,16.68,1.07,12.33,13.32,0.99
23.14,5.52,13.87,15.24,1.36,12.24,16.01,3.77
24.27,5.52,13.36,14.79,1.43,12.24,16.20,3.96
25.12,5.52,12.81,14.66,1.85,12.26,15.82,3.56
26.58,4.75,11.56,13.18,1.62,12.17,13.91,1.73
27.25,4.75,11.21,12.93,1.72,12.16,13.51,1.34
28.03,4.39,10.46,10.65,0.19,12.23,13.48,1.25
26.92,4.39,10.09,10.85,0.76,12.29,13.89,1.60
28.30,4.11,9.42,10.36,0.94,12.25,12.17,0.07
28.73,4.11,9.20,10.49,1.29,12.29,11.98,0.31
28.84,4.11,9.14,10.53,1.39,12.25,11.93,0.32
29.50,3.91,9.00,10.78,1.78,12.26,10.88,1.37
28.95,3.91,8.95,10.65,1.70,12.25,11.10,1.16
28.67,3.88,8.96,10.73,1.77,12.11,11.00,1.11
29.16,3.88,9.02,10.79,1.77,12.06,10.84,1.22
28.83,3.88,9.20,10.75,1.55,12.01,10.95,1.06
28.92,3.88,9.31,10.76,1.45,11.99,10.92,1.07
28.75,3.88,9.69,10.74,1.05,12.04,10.97,1.07
28.28,3.98,9.83,10.39,0.55,12.04,11.71,0.33
28.78,3.98,9.93,10.54,0.61,12.09,11.49,0.60
28.64,4.08,10.25,10.47,0.22,12.16,11.91,0.25
28.11,4.08,10.33,10.31,0.02,12.21,12.14,0.07
28.69,4.17,10.47,10.50,0.03,12.20,12.25,0.05
28.78,4.17,10.49,10.52,0.03,12.21,12.21,0.00
28.47,4.17,10.65,10.45,0.20,12.23,12.35,0.12
28.66,4.20,10.69,10.53,0.16,12.25,12.40,0.15
28.52,4.20,10.83,10.50,0.33,12.15,12.46,0.31
29.45,4.23,11.28,10.84,0.44,11.90,12.11,0.22
29.12,4.23,11.42,10.72,0.69,11.86,12.29,0.43
29.45,4.23,11.92,10.84,1.08,11.79,12.11,0.32
30.81,4.91,12.26,12.51,0.26,11.73,11.93,0.20
31.44,4.91,13.86,12.85,1.00,11.69,11.67,0.02
31.50,4.91,14.43,12.89,1.54,11.76,11.64,0.12
32.36,7.02,15.06,19.56,4.50,11.78,11.76,0.02
33.22,7.02,17.02,19.51,2.49,11.75,11.66,0.09
34.27,7.02,17.73,19.46,1.73,11.72,11.53,0.19
37.25,8.70,19.05,20.34,1.29,11.67,13.43,1.76
37.48,8.70,19.58,20.57,0.99,11.62,13.35,1.73
40.09,9.83,21.51,21.63,0.11,11.45,11.34,0.11
39.52,9.83,22.22,21.75,0.47,11.42,11.64,0.23
41.86,11.02,23.01,24.20,1.19,11.30,11.80,0.51
41.92,11.02,25.29,24.16,1.13,11.19,11.83,0.63
42.31,11.02,26.15,23.96,2.19,11.10,11.97,0.87
43.44,12.45,27.96,27.87,0.09,10.97,11.32,0.35
44.28,12.45,28.88,27.58,1.29,10.89,11.65,0.76
44.84,13.48,31.80,30.93,0.87,10.71,11.16,0.46
45.27,13.48,32.68,30.80,1.89,10.73,11.34,0.61
46.62,14.58,33.56,33.27,0.29,10.78,10.88,0.10
47.69,14.58,34.46,33.64,0.82,10.87,12.43,1.56
47.80,14.58,35.40,33.75,1.65,10.97,12.55,1.57
49.75,16.19,38.81,35.98,2.83,11.27,12.22,0.95
50.56,16.19,40.09,37.08,3.01,11.41,13.70,2.30
50.97,17.08,41.47,41.11,0.36,11.48,13.12,1.64
50.59,17.08,46.05,40.37,5.68,11.47,12.53,1.06
52.03,18.16,47.68,49.06,1.39,11.50,12.67,1.17
52.27,18.16,49.40,49.02,0.38,11.44,12.80,1.36
52.41,18.16,54.59,48.99,5.60,11.40,12.87,1.47
53.80,19.27,56.20,54.06,2.14,11.44,13.06,1.62
53.80,19.27,59.32,54.06,5.27,11.63,13.06,1.42
54.30,20.23,61.06,58.66,2.39,11.75,13.23,1.48
54.00,20.23,65.48,58.85,6.63,12.39,13.25,0.86
54.34,20.23,66.57,58.64,7.94,12.70,13.23,0.53
53.78,20.97,67.55,62.69,4.86,12.99,14.24,1.25
54.05,20.97,69.83,62.39,7.44,13.75,13.54,0.21
54.59,20.97,70.57,62.06,8.51,13.94,13.38,0.56
53.91,21.11,71.36,62.60,8.76,14.26,14.48,0.22
55.03,21.11,71.70,61.88,9.82,14.36,13.64,0.72
55.14,21.41,72.68,61.82,10.86,14.42,14.25,0.17
54.66,21.41,73.16,62.06,11.10,14.42,14.29,0.12
54.89,21.70,73.54,61.94,11.61,14.41,14.90,0.49
55.16,21.70,74.80,61.81,13.00,14.43,14.87,0.45
54.25,21.70,75.24,60.86,14.39,14.43,16.33,1.90
56.28,22.03,76.12,61.25,14.87,14.42,15.47,1.05
55.61,22.03,76.50,61.52,14.97,14.49,15.54,1.05
56.38,22.22,77.45,61.20,16.24,14.70,15.86,1.15
56.45,22.22,77.61,61.16,16.45,14.78,15.85,1.07
56.34,22.36,78.02,61.03,16.99,14.97,16.20,1.23
57.81,22.36,78.11,60.50,17.62,15.07,16.03,0.97
56.58,22.36,78.26,61.10,17.16,15.16,16.13,0.98
56.45,22.14,78.33,61.17,17.16,15.11,15.69,0.58
57.33,22.14,78.27,60.74,17.53,14.97,15.61,0.64
58.05,21.83,78.26,60.39,17.87,14.85,14.90,0.05
58.36,21.83,77.58,60.24,17.35,14.53,14.88,0.35
58.39,21.19,77.15,60.00,17.15,14.39,13.62,0.77
59.67,21.19,76.67,59.19,17.48,14.27,13.60,0.68
60.14,21.19,74.74,58.91,15.83,13.81,13.60,0.21
62.02,19.98,73.91,56.54,17.37,13.63,17.02,3.40
63.05,19.98,71.86,61.13,10.72,13.26,14.23,0.97
63.27,19.14,70.83,63.10,7.73,13.02,11.87,1.16
63.88,19.14,67.62,64.02,3.60,12.45,13.00,0.55
64.09,18.53,66.63,62.63,4.00,12.29,13.02,0.73
63.56,18.53,64.54,62.15,2.39,12.02,12.00,0.02
64.09,18.53,63.42,62.63,0.79,12.00,13.02,1.02
64.55,17.64,60.15,56.53,3.62,11.96,15.58,3.62
63.34,17.64,58.89,57.93,0.96,11.98,11.31,0.67
63.36,17.64,56.30,57.94,1.65,12.11,11.35,0.76
63.17,16.80,55.19,49.60,5.59,12.07,17.81,5.74
62.16,16.25,51.89,46.44,5.45,12.14,20.48,8.33
62.67,16.25,50.74,39.11,11.63,12.11,32.83,20.72
62.08,16.25,49.65,47.44,2.21,12.15,18.70,6.56
60.98,15.17,46.64,26.11,20.53,12.27,43.14,30.86
60.20,15.17,45.65,36.06,9.59,12.32,23.10,10.78
59.20,14.53,43.59,30.80,12.79,12.34,22.46,10.12
57.75,14.53,42.74,37.30,5.44,12.19,9.45,2.74
56.08,13.34,40.48,34.07,6.42,11.78,11.04,0.74
56.11,13.34,40.02,34.03,5.99,11.48,10.97,0.52
55.58,13.34,39.14,34.39,4.75,10.96,11.34,0.38
54.38,12.44,38.69,34.56,4.13,10.71,8.86,1.85
54.19,12.44,37.18,34.59,2.60,10.34,9.48,0.86
52.36,11.75,36.48,33.36,3.13,10.27,10.19,0.08
51.84,11.75,35.80,33.35,2.46,10.25,10.63,0.38
48.83,10.36,33.63,27.54,6.09,10.31,11.27,0.96
47.41,10.36,32.82,28.26,4.56,10.39,11.82,1.43
46.44,10.36,31.26,28.20,3.06,10.45,11.64,1.20
44.41,9.41,30.41,26.98,3.43,10.48,11.37,0.89
43.75,9.41,28.24,26.23,2.01,10.85,11.63,0.79
43.17,8.94,27.55,25.41,2.14,11.01,11.44,0.43
42.83,8.94,26.37,25.06,1.31,11.18,11.42,0.24
40.31,8.47,25.79,22.33,3.46,11.30,13.16,1.85
40.53,8.47,24.30,22.18,2.13,11.62,13.17,1.54
40.16,8.47,23.84,22.38,1.46,11.74,13.19,1.44
37.45,7.83,22.87,21.53,1.34,11.84,11.34,0.49
36.89,7.83,22.40,21.26,1.13,11.86,11.80,0.06
35.00,7.33,20.94,20.33,0.61,11.97,11.41,0.56
33.53,7.33,20.46,20.41,0.06,12.02,11.59,0.43
32.33,6.73,19.93,18.74,1.18,11.99,11.79,0.20
32.03,6.73,18.50,18.76,0.26,11.78,11.83,0.05
31.41,6.73,18.08,18.79,0.71,11.69,11.91,0.21
30.83,6.16,17.38,16.51,0.86,11.57,12.35,0.78
30.00,6.16,17.02,16.65,0.37,11.55,12.45,0.90
29.78,5.80,16.36,14.97,1.39,11.54,13.23,1.69
29.80,5.80,16.14,14.97,1.17,11.58,13.23,1.65
