# Bend, Stretch, theta1, theta1_predicted, error1, theta2, theta2_predicted, error2
89.67,14.59,14.61,16.09,1.48,131.83,129.21,2.62
80.64,12.66,14.21,14.83,0.62,129.38,107.65,21.74
79.22,12.66,13.78,16.05,2.27,121.16,110.06,11.10
77.91,12.66,13.54,17.05,3.51,114.95,114.40,0.55
64.27,11.45,12.99,14.34,1.35,92.46,78.20,14.27
56.03,11.45,12.86,19.69,6.83,84.25,37.82,46.43
51.42,11.45,12.38,29.44,17.06,67.00,12.68,54.33
39.88,7.72,12.15,20.52,8.37,58.15,10.46,47.69
35.98,7.72,11.64,21.09,9.45,38.15,11.74,26.41
31.20,6.12,11.52,16.30,4.78,33.76,12.36,21.40
29.84,6.12,11.45,16.51,5.06,30.10,12.54,17.57
25.33,4.88,11.32,13.00,1.68,22.96,16.02,6.93
25.09,4.88,11.42,12.96,1.55,21.35,16.32,5.04
25.28,4.88,11.62,13.00,1.38,18.23,16.08,2.15
24.05,3.77,11.60,10.54,1.06,16.98,11.27,5.71
23.09,3.77,11.64,10.02,1.62,13.70,11.52,2.18
22.75,3.77,11.69,9.84,1.85,12.62,11.61,1.00
23.16,2.94,11.59,14.75,3.17,11.69,7.20,4.49
23.67,2.94,11.19,14.71,3.52,9.59,7.29,2.30
26.81,2.67,11.06,14.39,3.33,9.20,7.63,1.56
27.95,2.67,10.82,14.77,3.94,8.42,7.17,1.24
29.31,2.53,10.69,16.90,6.20,8.08,5.44,2.64
27.83,2.53,10.51,14.93,4.41,6.96,6.78,0.18
27.47,2.53,10.54,14.43,3.88,6.57,7.46,0.89
24.16,2.20,10.51,14.39,3.88,6.24,6.84,0.60
22.22,2.20,10.59,14.58,3.99,5.22,6.54,1.32
21.47,2.20,10.62,14.68,4.06,4.93,6.38,1.46
18.09,2.02,10.60,15.08,4.48,4.52,5.54,1.01
17.27,2.02,10.59,15.19,4.60,4.37,5.37,1.00
14.92,1.91,10.64,15.37,4.73,4.03,5.04,1.01
14.02,1.91,10.60,15.45,4.85,3.96,4.94,0.99
11.11,2.05,10.61,12.19,1.58,3.91,5.18,1.27
10.52,2.05,10.65,11.46,0.82,3.71,5.22,1.51
10.36,2.05,10.65,11.27,0.62,3.71,5.23,1.52
8.70,2.16,10.75,9.75,1.00,3.71,5.36,1.65
8.67,2.16,10.75,9.74,1.00,3.70,5.36,1.65
8.00,2.16,10.88,9.58,1.30,3.71,5.32,1.61
8.39,2.16,10.95,9.67,1.27,3.79,5.34,1.55
8.02,2.16,11.00,9.58,1.42,3.88,5.32,1.44
8.17,2.23,11.02,9.77,1.24,4.36,5.35,0.99
8.42,2.23,11.10,9.84,1.26,4.58,5.37,0.79
8.83,2.23,11.51,9.94,1.57,5.25,5.39,0.14
11.69,2.48,11.71,11.33,0.38,5.65,5.63,0.02
13.92,2.48,12.60,14.02,1.42,6.79,5.17,1.62
17.23,2.62,12.98,15.87,2.89,7.16,5.37,1.79
19.05,2.62,13.46,15.15,1.70,7.53,6.15,1.38
21.06,3.38,14.79,14.07,0.73,8.49,7.16,1.33
20.98,3.81,15.20,12.60,2.59,8.81,11.29,2.49
20.95,3.81,16.01,12.66,3.35,9.65,11.27,1.62
21.27,4.20,16.33,12.90,3.43,10.37,13.80,3.43
19.22,4.20,17.02,14.28,2.74,13.15,12.42,0.73
18.67,5.50,17.11,18.21,1.10,14.43,10.76,3.67
22.88,5.50,17.11,15.34,1.78,15.97,15.85,0.12
26.03,5.50,16.83,14.41,2.42,21.74,15.46,6.29
36.05,7.02,16.68,20.04,3.36,23.99,9.99,13.99
38.42,7.02,16.52,20.94,4.43,26.53,7.35,19.18
42.55,7.98,15.97,19.12,3.15,35.65,13.71,21.94
44.55,7.98,15.80,15.14,0.66,39.22,31.87,7.35
49.17,8.83,15.55,16.19,0.63,47.89,32.56,15.34
51.84,8.83,15.44,14.65,0.79,52.56,37.02,15.54
53.95,8.83,15.36,14.82,0.54,67.34,34.74,32.60
59.31,10.42,15.40,14.79,0.62,72.81,65.08,7.73
61.17,10.42,15.55,13.81,1.74,78.10,66.75,11.35
63.97,11.17,15.79,14.90,0.89,94.28,77.23,17.05
66.27,11.17,15.94,13.57,2.37,99.31,78.74,20.57
73.47,12.44,16.22,15.96,0.26,108.77,100.37,8.40
74.98,12.44,16.34,16.59,0.25,113.01,104.44,8.57
77.05,12.44,16.52,15.67,0.85,123.74,106.75,16.99
81.55,13.69,16.66,16.55,0.12,126.39,119.38,7.01
82.09,13.69,16.88,16.67,0.21,128.42,119.60,8.82
82.58,13.69,17.41,16.85,0.56,133.37,120.33,13.04
88.23,14.89,17.67,15.96,1.70,134.67,128.41,6.26
86.75,14.89,18.10,16.09,2.01,137.00,126.81,10.19
88.45,15.56,18.32,16.45,1.87,137.90,120.32,17.59
100.00,15.56,18.97,16.75,2.22,140.42,134.71,5.71
99.06,16.22,19.19,17.11,2.07,141.12,133.64,7.48
104.86,16.22,19.40,17.62,1.79,141.72,136.85,4.87
106.88,16.22,19.71,15.33,4.38,143.33,133.98,9.35
107.30,16.84,19.80,18.72,1.08,143.67,138.87,4.79
110.28,16.84,20.00,16.81,3.19,144.04,137.75,6.29
114.53,17.05,20.10,17.09,3.01,144.15,137.55,6.60
